,x,y,cluster,name,club,pp,over,comb
0,-2.5092555438627953,-3.732688007585842,5,Azpilicueta,Chelsea,LB RB CB ,85,"Azpilicueta, Chelsea, LB RB CB , 85"
1,-2.383984528371301,-3.5823242516838976,1,K. Walker,Manchester City,RWB RB ,83,"K. Walker, Manchester City, RWB RB , 83"
2,-6.757469975962179,-1.1937958117338459,1,A. Valencia,Manchester United,RB ,83,"A. Valencia, Manchester United, RB , 83"
3,6.917387891867069,-3.593837719546605,2,A. Rüdiger,Chelsea,RB CB ,82,"A. Rüdiger, Chelsea, RB CB , 82"
4,4.878722033519964,-2.2195195866265274,2,M. Rojo,Manchester United,LB CB ,82,"M. Rojo, Manchester United, LB CB , 82"
5,-0.1971999314017218,-3.319328074573157,5,N. Clyne,Liverpool,RB ,82,"N. Clyne, Liverpool, RB , 82"
6,-3.5184646809808764,-2.56208070400833,1,D. Rose,Tottenham Hotspur,LWB LB ,82,"D. Rose, Tottenham Hotspur, LWB LB , 82"
7,-3.403076036056338,-1.101853768900481,1,L. Baines,Everton,LB ,82,"L. Baines, Everton, LB , 82"
8,-4.760582089217616,-0.5060437663779696,1,Fernandinho,Manchester City,RB CM CDM ,82,"Fernandinho, Manchester City, RB CM CDM , 82"
9,-4.125806202331196,0.5547309990143175,3,Héctor Bellerín,Arsenal,RB ,81,"Héctor Bellerín, Arsenal, RB , 81"
10,-4.429384771258977,-0.6314059407010809,1,S. Aurier,Tottenham Hotspur,RB ,81,"S. Aurier, Tottenham Hotspur, RB , 81"
11,-4.001338785146041,-0.6082808571176825,1,Marcos Alonso,Chelsea,LB LM LWB ,81,"Marcos Alonso, Chelsea, LB LM LWB , 81"
12,-2.3052369673013113,-1.1700934448603864,1,S. Coleman,Everton,RB ,81,"S. Coleman, Everton, RB , 81"
13,3.2723345261651917,-1.3758268700408844,0,S. Kolašinac,Arsenal,LM LB ,80,"S. Kolašinac, Arsenal, LM LB , 80"
14,-1.844568999293015,5.331095751916123,4,A. Oxlade-Chamberlain,Liverpool,RWB LM RM ,80,"A. Oxlade-Chamberlain, Liverpool, RWB LM RM , 80"
15,-0.8333449247506907,-1.7900610679832694,5,D. Blind,Manchester United,CB LB ,80,"D. Blind, Manchester United, CB LB , 80"
16,-3.597911250038683,6.516016607946478,4,M. Antonio,West Ham United,RWB RM ST ,80,"M. Antonio, West Ham United, RWB RM ST , 80"
17,1.2502389690440303,-1.1358721580705187,0,M. Darmian,Manchester United,RB LB ,80,"M. Darmian, Manchester United, RB LB , 80"
18,-2.636608301390568,-2.504458700425056,1,Nacho Monreal,Arsenal,CB LB ,80,"Nacho Monreal, Arsenal, CB LB , 80"
19,2.831417631312137,-3.874598709090605,5,R. Bertrand,Southampton,LB ,80,"R. Bertrand, Southampton, LB , 80"
20,-5.133766437796431,-1.7149489434601612,1,J. Milner,Liverpool,CM LB ,80,"J. Milner, Liverpool, CM LB , 80"
21,-1.2514892824983392,-0.038996547737299415,3,D. Zappacosta,Chelsea,RM RWB RB ,79,"D. Zappacosta, Chelsea, RM RWB RB , 79"
22,1.7383471412834839,0.11400594137889883,0,L. Shaw,Manchester United,LB ,79,"L. Shaw, Manchester United, LB , 79"
23,5.0068300651124105,-2.148848333194936,2,K. Zouma,Stoke City,RB CB ,79,"K. Zouma, Stoke City, RB CB , 79"
24,-3.6907715090758266,0.5325370631194705,3,Cédric,Southampton,RB ,79,"Cédric, Southampton, RB , 79"
25,-3.7787716525726207,1.8006818026789093,1,V. Moses,Chelsea,LM RM RWB ,79,"V. Moses, Chelsea, LM RM RWB , 79"
26,3.2282833735628933,-3.1891902312137494,5,J. Evans,West Bromwich Albion,LB CB ,79,"J. Evans, West Bromwich Albion, LB CB , 79"
27,0.09976164342586104,-4.54474141802934,5,P. Zabaleta,West Ham United,RB ,79,"P. Zabaleta, West Ham United, RB , 79"
28,5.126910595504389,1.4962118754443436,2,B. Davies,Tottenham Hotspur,LWB CB LB ,78,"B. Davies, Tottenham Hotspur, LWB CB LB , 78"
29,6.269859456115763,0.37548962721592893,2,B. Mendy,Manchester City,LWB LB ,78,"B. Mendy, Manchester City, LWB LB , 78"
30,0.4373535807365787,1.8564391954229607,0,Danilo,Manchester City,CB LB RB ,78,"Danilo, Manchester City, CB LB RB , 78"
31,0.4373535807365787,1.8564391954229607,0,Danilo,Manchester City,CB LB RB ,78,"Danilo, Manchester City, CB LB RB , 78"
32,-3.5098635098975284,-3.0659181401724793,1,J. Holebas,Watford,LWB LB ,78,"J. Holebas, Watford, LWB LB , 78"
33,2.820938856735463,1.6972747692650643,0,K. Trippier,Tottenham Hotspur,RWB RB ,78,"K. Trippier, Tottenham Hotspur, RWB RB , 78"
34,-1.3129363053832328,-2.346631515113035,5,A. Nyom,West Bromwich Albion,RB LB ,77,"A. Nyom, West Bromwich Albion, RB LB , 77"
35,-2.2151234475987485,1.569404695465949,1,M. Debuchy,Arsenal,RB ,77,"M. Debuchy, Arsenal, RB , 77"
36,0.8795945158107478,-2.722397279890654,5,C. Kouyaté,West Ham United,RB CB CM CDM ,77,"C. Kouyaté, West Ham United, RB CB CM CDM , 77"
37,-1.6503801404609404,5.580255621352372,4,M. Diouf,Stoke City,RM RWB ST ,77,"M. Diouf, Stoke City, RM RWB ST , 77"
38,1.6422309534967845,-0.31754917490635487,0,A. Baba,Chelsea,LM LB ,77,"A. Baba, Chelsea, LM LB , 77"
39,-3.6155053612700465,-2.2267130554671954,1,D. Janmaat,Watford,RWB RB ,77,"D. Janmaat, Watford, RWB RB , 77"
40,-2.3520519528400166,-0.6490915038354488,3,Manquillo,Newcastle United,LB RB ,76,"Manquillo, Newcastle United, LB RB , 76"
41,-0.8225435294335832,-1.4192248576012596,5,G. Cameron,Stoke City,RWB RB CB CDM ,76,"G. Cameron, Stoke City, RWB RB CB CDM , 76"
42,-5.107010465286425,-1.8839408328950746,1,C. Fuchs,Leicester City,LB ,76,"C. Fuchs, Leicester City, LB , 76"
43,0.09875045937938115,-4.685767925943869,5,Jesús Gámez,Newcastle United,LB RB ,76,"Jesús Gámez, Newcastle United, LB RB , 76"
44,-1.9527645276441032,-1.2302969673502853,3,T. Fosu-Mensah,Crystal Palace,RB CB ,76,"T. Fosu-Mensah, Crystal Palace, RB CB , 76"
45,-5.018835126805032,4.0779138620117505,3,R. Brady,Burnley,LB LM ,76,"R. Brady, Burnley, LB LM , 76"
46,1.1067778150933776,-0.9045769927636235,0,A. Cresswell,West Ham United,LWB LB ,76,"A. Cresswell, West Ham United, LWB LB , 76"
47,0.54030172340281,-3.1768189382337146,5,S. Francis,Bournemouth,RB CB ,76,"S. Francis, Bournemouth, RB CB , 76"
48,-2.4629620837790784,-2.3302460903372864,1,M. Lowton,Burnley,RB ,76,"M. Lowton, Burnley, RB , 76"
49,2.6491612343975612,-0.06546473744800616,0,C. Mbemba,Newcastle United,LB CB ,76,"C. Mbemba, Newcastle United, LB CB , 76"
50,8.311705511091729,-0.8530696562163071,2,J. Tomkins,Crystal Palace,RB CB ,76,"J. Tomkins, Crystal Palace, RB CB , 76"
51,2.105050958118912,0.19259666536568132,0,Alberto Moreno,Liverpool,LB ,76,"Alberto Moreno, Liverpool, LB , 76"
52,-2.53291241555497,1.1474922941334835,3,A. Masuaku,West Ham United,LWB LB ,75,"A. Masuaku, West Ham United, LWB LB , 75"
53,0.9690738558699825,-2.5385061610846598,5,N. Aké,Bournemouth,LB CB ,75,"N. Aké, Bournemouth, LB CB , 75"
54,-2.1154393924755115,0.9810041077630388,3,M. Zeegelaar,Watford,LM LB ,75,"M. Zeegelaar, Watford, LM LB , 75"
55,-4.360340778959027,0.5204997781927126,1,G. Johnson,Stoke City,RB ,75,"G. Johnson, Stoke City, RB , 75"
56,-5.406177634309093,-1.182835856941169,1,E. Schelotto,Brighton & Hove Albion,RM RB ,75,"E. Schelotto, Brighton & Hove Albion, RM RB , 75"
57,-0.2764932431346167,6.225242683035255,4,A. Young,Manchester United,LB LM RB ,75,"A. Young, Manchester United, LB LM RB , 75"
58,-5.220493078159594,0.7430567066090886,1,P. van Aanholt,Crystal Palace,LB ,75,"P. van Aanholt, Crystal Palace, LB , 75"
59,-4.563182346192064,4.100857297327165,4,C. Brunt,West Bromwich Albion,LB RM ,75,"C. Brunt, West Bromwich Albion, LB RM , 75"
60,0.45057776885624173,-0.07428568546872591,0,D. Simpson,Leicester City,RB ,75,"D. Simpson, Leicester City, RB , 75"
61,1.8264343837411405,-2.5326822087488887,5,E. Pieters,Stoke City,LWB LB ,75,"E. Pieters, Stoke City, LWB LB , 75"
62,-3.3808274520297257,1.257125423613106,3,M. Olsson,Swansea City,LB ,75,"M. Olsson, Swansea City, LB , 75"
63,-2.4325461146205387,1.4482512273883685,3,Kiko Femenía,Watford,RM RB ,75,"Kiko Femenía, Watford, RM RB , 75"
64,5.705203425155338,1.7561498759856813,2,C. Chambers,Arsenal,RB CB ,75,"C. Chambers, Arsenal, RB CB , 75"
65,-5.2558008243319145,0.4630541431423198,1,C. Daniels,Bournemouth,LB ,75,"C. Daniels, Bournemouth, LB , 75"
66,-0.514074256984739,-3.0006541059113823,5,S. Ward,Burnley,LB ,75,"S. Ward, Burnley, LB , 75"
67,5.070484410372252,-0.48941539924848926,2,A. Robertson,Liverpool,LWB LB ,75,"A. Robertson, Liverpool, LWB LB , 75"
68,4.510454168686915,-0.4595133655382149,2,K. Naughton,Swansea City,RB ,75,"K. Naughton, Swansea City, RB , 75"
69,2.6478352780124,1.4349644489996176,0,C. Dawson,West Bromwich Albion,CB RB ,75,"C. Dawson, West Bromwich Albion, CB RB , 75"
70,4.656432696430179,1.9582265183637975,2,Y. Benalouane,Leicester City,RB CB ,75,"Y. Benalouane, Leicester City, RB CB , 75"
71,-0.9724352285639304,-2.043742935962145,5,J. Ward,Crystal Palace,LB RB ,74,"J. Ward, Crystal Palace, LB RB , 74"
72,-1.1296267166571918,-0.7976120580748645,5,Àngel Rangel,Swansea City,RB ,74,"Àngel Rangel, Swansea City, RB , 74"
73,-1.8982039379443147,-1.3826731061250932,3,J. Riedewald,Crystal Palace,LB CDM CB ,74,"J. Riedewald, Crystal Palace, LB CDM CB , 74"
74,-1.6705448008642616,0.7388075503359771,3,B. Dja Djédjé,Watford,RB ,74,"B. Dja Djédjé, Watford, RB , 74"
75,-5.685530215144927,-1.7353119757630395,1,C. Löwe,Huddersfield Town,LB ,73,"C. Löwe, Huddersfield Town, LB , 73"
76,0.8593538777636833,3.3420616459711394,4,J. Pied,Southampton,LB RM RB ,73,"J. Pied, Southampton, LB RM RB , 73"
77,-2.4371189977919823,1.6013699613411307,3,M. Suttner,Brighton & Hove Albion,LWB LB ,73,"M. Suttner, Brighton & Hove Albion, LWB LB , 73"
78,0.41968541937703874,-2.8044239447610133,5,Bruno Saltor,Brighton & Hove Albion,RB ,73,"Bruno Saltor, Brighton & Hove Albion, RB , 73"
79,-2.737619424221222,2.523369540011751,3,A. Smith,Bournemouth,RB ,73,"A. Smith, Bournemouth, RB , 73"
80,-2.1453413458200874,0.6125481563309437,3,P. Souaré,Crystal Palace,LB ,73,"P. Souaré, Crystal Palace, LB , 73"
81,2.102465226506501,1.096944659291063,0,C. Taylor,Burnley,LB ,73,"C. Taylor, Burnley, LB , 73"
82,8.536741257592055,1.553283584933144,2,C. Cathcart,Watford,RB CB ,73,"C. Cathcart, Watford, RB CB , 73"
83,4.320151012114377,-1.234842107099469,2,M. Kelly,Crystal Palace,CB LB RB ,73,"M. Kelly, Crystal Palace, CB LB RB , 73"
84,-4.456239347422436,4.094973060674361,3,D. Yedlin,Newcastle United,RB ,73,"D. Yedlin, Newcastle United, RB , 73"
85,4.044689691263664,0.5082067886036463,2,S. Byram,West Ham United,RM RB ,73,"S. Byram, West Ham United, RM RB , 73"
86,3.725457079207575,-2.922291165584764,2,T. Smith,Huddersfield Town,RB ,72,"T. Smith, Huddersfield Town, RB , 72"
87,2.981236418715956,6.490670504214878,4,Kenedy,Chelsea,LB LM ,72,"Kenedy, Chelsea, LB LM , 72"
88,1.495626781315995,-0.3764963696539114,0,G. Bong,Brighton & Hove Albion,LB ,72,"G. Bong, Brighton & Hove Albion, LB , 72"
89,4.807157921535831,0.5712847252191525,2,A. Mariappa,Watford,CB RB ,72,"A. Mariappa, Watford, CB RB , 72"
90,5.893406241062355,0.15604167494585267,2,P. Bardsley,Burnley,LB RB ,72,"P. Bardsley, Burnley, LB RB , 72"
91,2.0131556132120125,1.168433569470665,0,F. Hadergjonaj,Huddersfield Town,RWB RM RB ,72,"F. Hadergjonaj, Huddersfield Town, RWB RM RB , 72"
92,-0.442618405074073,5.389019909813267,4,J. Schlupp,Crystal Palace,LWB LM LB ,71,"J. Schlupp, Crystal Palace, LWB LM LB , 71"
93,4.060379606485494,1.3053511065529575,2,P. Dummett,Newcastle United,CB LB ,71,"P. Dummett, Newcastle United, CB LB , 71"
94,5.9279844314080306,2.762386210014963,2,L. Rosenior,Brighton & Hove Albion,RM RB LB ,71,"L. Rosenior, Brighton & Hove Albion, RM RB LB , 71"
95,-0.05308247727465945,3.4891695718771367,4,S. Malone,Huddersfield Town,LB ,71,"S. Malone, Huddersfield Town, LB , 71"
96,6.484044669280365,2.7289014161643084,2,T. Mings,Bournemouth,CB LB ,71,"T. Mings, Bournemouth, CB LB , 71"
97,5.7083130033576515,2.271947213760869,2,C. Martina,Everton,CB RWB RB ,71,"C. Martina, Everton, CB RWB RB , 71"
